ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
11,방재기사,2021,2,방재시설,39,자연재해저감 종합계획 세부수립기준상 주요 자연재해 특성분석에 관한 사항으로 틀린 것은?,text_only,O,"기상개황은 자연재해 발생기간내의 강우량, 풍속, 풍향, 적설량등을 기술한다.",주요자연재해 특성분석내용은 위험지구 예비후보지 대상선정시 제외한다.,자연재해 원인특성은 해당재해별 특성을 구분하여 분석한다.,피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로한다.,2,11,Claude Sonnet 4,136,8,2,72.73,22.2,2.0,257,5,262,중간,0.000846,2,True,2,"문제: 자연재해저감 종합계획 세부수립기준상 주요 자연재해 특성분석에 관한 사항으로 틀린 것은?

선택지:
1. 기상개황은 자연재해 발생기간내의 강우량, 풍속, 풍향, 적설량등을 기술한다.
2. 주요자연재해 특성분석내용은 위험지구 예비후보지 대상선정시 제외한다.
3. 자연재해 원인특성은 해당재해별 특성을 구분하여 분석한다.
4. 피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
12,방재기사,2021,2,방재시설,32,우리나라 해안에서 발생하는 연안침식의 주요원인이 아닌 것은?,text_only,,항만건설,해안도로 건설,하수구 폐쇄,무분별한 하구 골재채취,3,12,Claude Sonnet 4,136,9,2,75.0,24.2,2.0,130,5,135,중간,0.000465,3,True,3,"문제: 우리나라 해안에서 발생하는 연안침식의 주요원인이 아닌 것은?

선택지:
1. 항만건설
2. 해안도로 건설
3. 하수구 폐쇄
4. 무분별한 하구 골재채취

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
13,방재기사,2021,2,재해분석,60,RRL 모델에 의한 홍수유출량 산정방법으로 옳은 것은?\n\n- Q 는 시간별 유출량(m$^3$/s)\n- I$_i$는 우량주상도의 i번째 시간구간의 강우강도 (mm/h)\n- A는 j시간의 유역출구 유출량에 기여하는 소유역 면적(km$^2$),text_only,,$Q_j = 0.2777 × \sum_{i=1}^{j} I_i × A_{j+1-i}$,$Q_j = 0.2227 × \sum_{i=1}^{j} I_i × A_{j+1-i}$,$Q_j = 0.2227 × \sum_{i=1}^{j} A_i × I_{j+1}$,$Q_j = 0.2777 × \sum_{i=1}^{j} A_i × I_{j+1}$,1,13,Claude Sonnet 4,136,10,2,76.92,26.25,2.05,327,10,337,중간,0.001131,1,True,"1

RRL(Road Research Laboratory)","문제: RRL 모델에 의한 홍수유출량 산정방법으로 옳은 것은?\n\n- Q 는 시간별 유출량(m$^3$/s)\n- I$_i$는 우량주상도의 i번째 시간구간의 강우강도 (mm/h)\n- A는 j시간의 유역출구 유출량에 기여하는 소유역 면적(km$^2$)

선택지:
1. $Q_j = 0.2777 × \sum_{i=1}^{j} I_i × A_{j+1-i}$
2. $Q_j = 0.2227 × \sum_{i=1}^{j} I_i × A_{j+1-i}$
3. $Q_j = 0.2227 × \sum_{i=1}^{j} A_i × I_{j+1}$
4. $Q_j = 0.2777 × \sum_{i=1}^{j} A_i × I_{j+1}$

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
14,방재기사,2021,3,재해분석,52,재해복구사업의 분석·평가 시행지침상 명시된 재해복구사업의 효과성· 경제성을 평가하는 경우 포함하여야 하는 사항이 아닌 것은?,text_only,O,재해복구사업의 차별성,재해복구사업 계획추진과 사후관리체계 적정성,침수유역과 관련된 재해복구사업의 침수저감능력과 경제성,재해복구사업으로 인한 지역의 발전성과 지역주민 생활환경의 쾌적성,1,14,Claude Sonnet 4,136,11,2,78.57,28.69,2.44,234,5,239,중간,0.000777,1,True,1,"문제: 재해복구사업의 분석·평가 시행지침상 명시된 재해복구사업의 효과성· 경제성을 평가하는 경우 포함하여야 하는 사항이 아닌 것은?

선택지:
1. 재해복구사업의 차별성
2. 재해복구사업 계획추진과 사후관리체계 적정성
3. 침수유역과 관련된 재해복구사업의 침수저감능력과 경제성
4. 재해복구사업으로 인한 지역의 발전성과 지역주민 생활환경의 쾌적성

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
15,방재기사,2021,2,방재시설,26,자연현황 조사대상에 해당하지 않는 것은?,text_only,,산업현황,하천현황,해상현황,지질·토양현황,1,15,Claude Sonnet 4,136,12,2,80.0,30.69,2.0,105,5,110,중간,0.00039,1,True,1,"문제: 자연현황 조사대상에 해당하지 않는 것은?

선택지:
1. 산업현황
2. 하천현황
3. 해상현황
4. 지질·토양현황

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
16,방재기사,2022,2,방재사업,89,우리나라의 지형적 특성에 따른 연안침식 유형이 아닌 것은?,text_only,,이상파랑,토사포락,호안붕괴,백사장 침식,1,16,Claude Sonnet 4,136,12,2,75.0,33.19,2.5,118,5,123,중간,0.000429,2,False,2,"문제: 우리나라의 지형적 특성에 따른 연안침식 유형이 아닌 것은?

선택지:
1. 이상파랑
2. 토사포락
3. 호안붕괴
4. 백사장 침식

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
17,방재기사,2021,2,재난관리,6,재해구호법령상 응급구호 및 재해구호 상황의 보고에 관한 사항중 ( )안에 들어갈 대상으로 옳은 것은?\n\n- 구호기관은 재해로 인하여 이재민이 발생하면 재해의 상황과 재해구호 내용을 ( )에게 보고하여야 한다.,text_only,O,시·도지사,구호지원기관의 장,행정안전부장관,지역보호센터의 장,3,17,Claude Sonnet 4,136,12,2,70.59,34.98,1.8,211,5,216,중간,0.000708,1,False,1,"문제: 재해구호법령상 응급구호 및 재해구호 상황의 보고에 관한 사항중 ( )안에 들어갈 대상으로 옳은 것은?\n\n- 구호기관은 재해로 인하여 이재민이 발생하면 재해의 상황과 재해구호 내용을 ( )에게 보고하여야 한다.

선택지:
1. 시·도지사
2. 구호지원기관의 장
3. 행정안전부장관
4. 지역보호센터의 장

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
18,방재기사,2021,3,방재시설,28,폭풍해일 및 파랑으로 인한 재해 대책시설이 아닌 것은?,text_only,,호안,흉벽,도류제,고조방파제,3,18,Claude Sonnet 4,136,13,2,72.22,36.77,1.79,112,5,117,중간,0.000411,3,True,3,"문제: 폭풍해일 및 파랑으로 인한 재해 대책시설이 아닌 것은?

선택지:
1. 호안
2. 흉벽
3. 도류제
4. 고조방파제

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
19,방재기사,2021,3,방재시설,35,배수펌프 시설계획 수립에 관한 사항으로 틀린 것은?,text_only,,총양정은 계획실양정으로 한다.,펌프용량은 유역의 유출특성과 유수지규모에 따라 결정한다.,계획실양정은 외수계획고수위와 내수의 저수위 수위차의 70~80% 범위로 한다.,펌프의 설비위치는 수리적으로 유리하도록 흡수정과 최대한 가깝게 한다.,1,19,Claude Sonnet 4,136,13,2,68.42,38.95,2.18,224,5,229,중간,0.000747,3,False,3,"문제: 배수펌프 시설계획 수립에 관한 사항으로 틀린 것은?

선택지:
1. 총양정은 계획실양정으로 한다.
2. 펌프용량은 유역의 유출특성과 유수지규모에 따라 결정한다.
3. 계획실양정은 외수계획고수위와 내수의 저수위 수위차의 70~80% 범위로 한다.
4. 펌프의 설비위치는 수리적으로 유리하도록 흡수정과 최대한 가깝게 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
20,방재기사,2021,2,재난관리,7,"자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (단, 그 밖에 대통령령으로 정하는 방재관리대책에 관한 업무는 제외한다.)",text_only,O,비상대처계획 수립,우수유출저감대책의 평가,재해복구사업의 분석·평가,자연재해저감 종합계획의 수립,2,20,Claude Sonnet 4,136,13,2,65.0,41.01,2.05,203,5,208,중간,0.000684,4,False,4,"문제: 자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (단, 그 밖에 대통령령으로 정하는 방재관리대책에 관한 업무는 제외한다.)

선택지:
1. 비상대처계획 수립
2. 우수유출저감대책의 평가
3. 재해복구사업의 분석·평가
4. 자연재해저감 종합계획의 수립

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
21,방재기사,2020,3,방재시설,35,재난대응훈련 프로그램 영역에서 위기관리 매뉴얼상의 정부 부처의 조치 목록이 잘못 연결된 것은?,text_only,,기상청:신속하고 정확한 호우특보 전파,교육부:긴급동원체계 및 인명구조 긴급지원태세 유지,산림청:산사태 취약지역 및 임도피해 우려지역 예찰강화,보건복지부:재해지역 식중독 예방대책 추진,2,21,Claude Sonnet 4,136,14,2,66.67,43.13,2.12,222,5,227,중간,0.000741,2,True,2,"문제: 재난대응훈련 프로그램 영역에서 위기관리 매뉴얼상의 정부 부처의 조치 목록이 잘못 연결된 것은?

선택지:
1. 기상청:신속하고 정확한 호우특보 전파
2. 교육부:긴급동원체계 및 인명구조 긴급지원태세 유지
3. 산림청:산사태 취약지역 및 임도피해 우려지역 예찰강화
4. 보건복지부:재해지역 식중독 예방대책 추진

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
22,방재기사,2022,2,방재시설,34,하수도설계기준상 측정된 강우자료 분석을 통한 다음 각각의 하수도 시설물별 최소 설계빈도는?\n\nㄱ: 지선관로\nㄴ: 간선관로\nㄷ: 빗물펌프장,text_only,O,"ㄱ:5년, ㄴ:10년, ㄷ:30년","ㄱ:5년, ㄴ:10년, ㄷ:20년","ㄱ:10년, ㄴ:30년, ㄷ:30년","ㄱ:10년, ㄴ:30년, ㄷ:20년",3,22,Claude Sonnet 4,136,14,2,63.64,45.04,1.91,255,5,260,중간,0.00084,2,False,2,"문제: 하수도설계기준상 측정된 강우자료 분석을 통한 다음 각각의 하수도 시설물별 최소 설계빈도는?\n\nㄱ: 지선관로\nㄴ: 간선관로\nㄷ: 빗물펌프장

선택지:
1. ㄱ:5년, ㄴ:10년, ㄷ:30년
2. ㄱ:5년, ㄴ:10년, ㄷ:20년
3. ㄱ:10년, ㄴ:30년, ㄷ:30년
4. ㄱ:10년, ㄴ:30년, ㄷ:20년

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
23,방재기사,2021,2,재해대책,68,재해정보지도 작성후 지방자치단체의 장이 검토해야 하는 사항이 아닌 것은?,text_only,,침수 정보,현지 조사,정보 보안,재해정보지도 작성 방침,3,23,Claude Sonnet 4,136,15,2,65.22,47.03,1.98,132,5,137,중간,0.000471,3,True,3,"문제: 재해정보지도 작성후 지방자치단체의 장이 검토해야 하는 사항이 아닌 것은?

선택지:
1. 침수 정보
2. 현지 조사
3. 정보 보안
4. 재해정보지도 작성 방침

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
24,방재기사,2021,2,재해분석,56,재해복구사업의 분석·평가 시행지침상 재해복구사업 분석평가를 통해 도출된 문제점에 대한 개선방안 및 구체적인 활용방안으로 명시되지 않는 것은?,text_only,,재해예방사업의 투자 우선순위,자연재해위험개선지구 지정 개선방안,재해복구사업 시행에 따른 각 시설물별 개선방안,지역발전성과 지역주민 생활환경의 쾌적성 향상방안,2,24,Claude Sonnet 4,136,15,2,62.5,49.05,2.02,228,5,233,중간,0.000759,4,False,4,"문제: 재해복구사업의 분석·평가 시행지침상 재해복구사업 분석평가를 통해 도출된 문제점에 대한 개선방안 및 구체적인 활용방안으로 명시되지 않는 것은?

선택지:
1. 재해예방사업의 투자 우선순위
2. 자연재해위험개선지구 지정 개선방안
3. 재해복구사업 시행에 따른 각 시설물별 개선방안
4. 지역발전성과 지역주민 생활환경의 쾌적성 향상방안

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
25,방재기사,2019,5,방재시설,28,다음의 ( ) 안에 적합한 단어는?\n\n방재기초자료 조사 시 인문 사회현황조사는 ( ㉮ ) 현황조사와 ( ㉯ )현황조사로 구분한다.,text_only,,"㉮ : 인구, ㉯ : 경제","㉮ : 인구, ㉯ : 산업","㉮ : 산업, ㉯ : 경제","㉮ : 산업, ㉯ : 복지",2,25,Claude Sonnet 4,136,16,2,64.0,50.98,1.94,212,5,217,중간,0.000711,2,True,2,"문제: 다음의 ( ) 안에 적합한 단어는?\n\n방재기초자료 조사 시 인문 사회현황조사는 ( ㉮ ) 현황조사와 ( ㉯ )현황조사로 구분한다.

선택지:
1. ㉮ : 인구, ㉯ : 경제
2. ㉮ : 인구, ㉯ : 산업
3. ㉮ : 산업, ㉯ : 경제
4. ㉮ : 산업, ㉯ : 복지

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
26,방재기사,2020,3,재해대책,77,자연재해위험개선지구 관리지침상 침수위험 지구의 정비대상 시설물이 아닌 것은 ?,text_only,O,옹벽,저류지,배수펌프장,방조제,1,26,Claude Sonnet 4,136,16,2,61.54,52.91,1.92,124,5,129,중간,0.000447,4,False,4,"문제: 자연재해위험개선지구 관리지침상 침수위험 지구의 정비대상 시설물이 아닌 것은 ?

선택지:
1. 옹벽
2. 저류지
3. 배수펌프장
4. 방조제

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
27,방재기사,2020,3,재난관리,5,댐·저수지 붕괴등에 의한 하류위험지역의 위험도 평가시 인구에 대한 설명으로 틀린것은?,text_only,,위험지역의 인구는 붕괴시 범람으로 인한 인명피해 잠재성의 정량화된 척도로 사용된다.,위험지역의 인구는 붕괴시 범람으로 인한 하류 위험지역으로부터 피난해야 될 사람의 수로 정의 할 수 있다.,위험지역의 인구는 상시 거주지뿐만 아니라 작업장과 임시거주지 인구까지 포함한다.,인구위험도는 PAR(Person At Risk)로 표시되기도 하는데 댐의 상류지역에 거주하는 사람의 수로 정의 할 수 있다.,4,27,Claude Sonnet 4,136,17,2,62.96,54.8,1.9,328,5,333,중간,0.001059,4,True,4,"문제: 댐·저수지 붕괴등에 의한 하류위험지역의 위험도 평가시 인구에 대한 설명으로 틀린것은?

선택지:
1. 위험지역의 인구는 붕괴시 범람으로 인한 인명피해 잠재성의 정량화된 척도로 사용된다.
2. 위험지역의 인구는 붕괴시 범람으로 인한 하류 위험지역으로부터 피난해야 될 사람의 수로 정의 할 수 있다.
3. 위험지역의 인구는 상시 거주지뿐만 아니라 작업장과 임시거주지 인구까지 포함한다.
4. 인구위험도는 PAR(Person At Risk)로 표시되기도 하는데 댐의 상류지역에 거주하는 사람의 수로 정의 할 수 있다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
28,방재기사,2021,3,방재시설,36,자연재해저감 종합계획 세부수립기준상 자연재해 특성분석 현황조사에 관한 사항으로 틀린 것은?,text_only,O,자연재해 원인특성은 해당 재해별 특성을 구분하여 분석한다.,주요 자연재해 특성 분석 내용은 위험지구 예비후보지 대상선정에 활용할수 없다.,"피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로 해당 자연재해로인하여 발생한 시설물별 피해 개소수, 피해액등의 피해현황을 조사한다.","주요자연재해 사상을 선정하여 주요내용(호우기간, 기상특성등), 기상개황, 기상특성, 자연재해원인특성, 피해현황, 복구현황, 피해원인분석등 대하 여기술한다.",2,28,Claude Sonnet 4,136,18,2,64.29,56.68,1.88,351,5,356,중간,0.001128,2,True,2,"문제: 자연재해저감 종합계획 세부수립기준상 자연재해 특성분석 현황조사에 관한 사항으로 틀린 것은?

선택지:
1. 자연재해 원인특성은 해당 재해별 특성을 구분하여 분석한다.
2. 주요 자연재해 특성 분석 내용은 위험지구 예비후보지 대상선정에 활용할수 없다.
3. 피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로 해당 자연재해로인하여 발생한 시설물별 피해 개소수, 피해액등의 피해현황을 조사한다.
4. 주요자연재해 사상을 선정하여 주요내용(호우기간, 기상특성등), 기상개황, 기상특성, 자연재해원인특성, 피해현황, 복구현황, 피해원인분석등 대하 여기술한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
29,방재기사,2021,3,방재사업,87,도시·군 계획시설의 결정·구조 및 설치기준에관한 규칙상 방재시설이 아닌 것은?,text_only,O,하천,저수지,상수도,방풍설비,3,29,Claude Sonnet 4,136,19,2,65.52,58.71,2.03,122,5,127,중간,0.000441,3,True,3,"문제: 도시·군 계획시설의 결정·구조 및 설치기준에관한 규칙상 방재시설이 아닌 것은?

선택지:
1. 하천
2. 저수지
3. 상수도
4. 방풍설비

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
30,방재기사,2022,2,방재사업,97,자연재해대책법령상 상습가뭄재해지역에 대한 생활수?먹는물 분야의 중장기 대책에 포함되어야하는 사항을 모두 고른 것은?\n\nㄱ. 물 절약대책\nㄴ. 하수도 축소대책\nㄷ. 수질오염사고 예방대책\nㄹ. 가뭄단계별 재한급수대책,text_only,O,"ㄱ, ㄴ ,ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",3,30,Claude Sonnet 4,136,20,2,66.67,60.61,1.9,267,5,272,중간,0.000876,3,True,3,"문제: 자연재해대책법령상 상습가뭄재해지역에 대한 생활수?먹는물 분야의 중장기 대책에 포함되어야하는 사항을 모두 고른 것은?\n\nㄱ. 물 절약대책\nㄴ. 하수도 축소대책\nㄷ. 수질오염사고 예방대책\nㄹ. 가뭄단계별 재한급수대책

선택지:
1. ㄱ, ㄴ ,ㄷ
2. ㄱ, ㄴ, ㄹ
3. ㄱ, ㄷ, ㄹ
4. ㄴ, ㄷ, ㄹ

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
31,방재기사,2021,3,재해분석,49,방재성능목표 달성에 필요한 재정적 수요를 고려한 사항을 모두 고른 것은?\n\nㄱ. 재해지역의 재정자립도\nㄴ. 재해지역의 소득지가 변동률\nㄷ. 재해지역의 도시화율\nㄹ. 재해지역의 시설물별 피해양상,text_only,,"ㄱ, ㄴ","ㄱ, ㄷ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ",3,31,Claude Sonnet 4,136,20,3,64.52,63.05,2.44,239,10,249,중간,0.000867,N/A,False,방재성능목표 달성,"문제: 방재성능목표 달성에 필요한 재정적 수요를 고려한 사항을 모두 고른 것은?\n\nㄱ. 재해지역의 재정자립도\nㄴ. 재해지역의 소득지가 변동률\nㄷ. 재해지역의 도시화율\nㄹ. 재해지역의 시설물별 피해양상

선택지:
1. ㄱ, ㄴ
2. ㄱ, ㄷ
3. ㄱ, ㄴ, ㄷ
4. ㄱ, ㄴ, ㄹ

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
32,방재기사,2019,5,재해대책,66,침수흔적조사에 대한설명으로 틀린 것은?,text_only,,침수흔적조사는 재해지도를 작성할 때 기초 자료로 활용하기 위하여 실시한다.,행안부장관은 침수범람 등의 피해가 발생한 경우 침수흔적을 조사하여야한다.,대하천의 범람 등 단기간 내 끝나지 않는 재해의 경우 재해진행현장을 조사하는 것이 가능하다.,피해발생 후 신속한 조사가 어려운 경우에는 전담기관 및 대행자에 의뢰하여 침수흔적 조사를 실시할 수 있다.,2,32,Claude Sonnet 4,136,20,3,62.5,64.97,1.92,284,5,289,중간,0.000927,3,False,3,"문제: 침수흔적조사에 대한설명으로 틀린 것은?

선택지:
1. 침수흔적조사는 재해지도를 작성할 때 기초 자료로 활용하기 위하여 실시한다.
2. 행안부장관은 침수범람 등의 피해가 발생한 경우 침수흔적을 조사하여야한다.
3. 대하천의 범람 등 단기간 내 끝나지 않는 재해의 경우 재해진행현장을 조사하는 것이 가능하다.
4. 피해발생 후 신속한 조사가 어려운 경우에는 전담기관 및 대행자에 의뢰하여 침수흔적 조사를 실시할 수 있다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
